task_id,claim,predicted,measured,tolerance,status,backend
WP0-N0,Simulation result schema contains all required identifiers and target metrics,"Required fields include claim_id, dgp_id, observation_regime, evaluation_manifest_id, n_regions, inner_n, seed, method, metric, and value","wp2_invariants.py verifies all ten fields and the four permitted observation regimes",Exact structural assertion,PASS,research/wp2_invariants.py
WP2-N2,Mean log1p-quantile effects do not determine nonlinear raw-income Gini effects,"max absolute log1p curve effect < 1e-12 and subgroup-A Gini effect = -1/16","The raw (1,3) versus treated mixture (1,1)/(1,7) construction satisfies (1+1)(1+7)=(1+3)^2; exact Fraction arithmetic gives Gini effect -1/16",1e-12,PASS,research/wp2_invariants.py
WP2-N9,WP2 implementation invariants hold,"scalar collapse; known randomized design propensity need not equal 1/2; nonlinear coordinates before averaging; effect curve never projected",research/wp2_invariants.py prints WP2 invariants: PASS and tests known propensity 1/3,Exact assertions,PASS,research/wp2_invariants.py
WP3-N3a,Finite composite candidate gain responds to a pure-functional score difference,"for the considered candidate partition the curve-only empirical gain is zero and the composite empirical gain is positive",research/wp3_invariants.py finite score construction and candidate-gain assertions,Exact finite-node check,PASS,research/wp3_invariants.py
WP3-N3b,Frozen trapezoidal geometry makes exact coordinate duplication irrelevant,"duplicating every curve coordinate and halving its trapezoidal weight leaves SSE predictions and split choices unchanged",research/wp3_invariants.py explicit-weight duplicate-grid assertions,1e-8,PASS,research/wp3_invariants.py
WP3-N3c,Conditional score/index separation and region-level cross-fitting are implemented,"conditional on fixed scores and scales split and populate indices are disjoint; nuisance training and validation folds are disjoint and cover all regions",Index assertions do not test whether populate outcomes entered nuisance fits or global preprocessing,Exact index assertions,PARTIAL,research/wp3_invariants.py
WP3-N3d,Known propensity bypasses classifier fitting,"known_propensity=0.37 makes zero propensity-classifier calls while retaining cross-fitted arm regressions","the mocked classifier is never called; the supplied 0.37 propensity and known-propensity backend are retained",Exact call-count branch and value assertions,PASS,research/wp3_odcf.py; research/wp3_invariants.py
WP3-N3e,Every accepted tree split has balanced nonempty populate children,"both split and populate children satisfy min_leaf and min_child_fraction=0.10; no prediction uses a global-populate fallback","tree construction enforces both child constraints and honesty_report confirms all fitted local leaves are nonempty",Exact construction and tree assertions,PASS,research/wp3_odcf.py; research/wp3_invariants.py
WP3-N3f,Arm projection uses the declared quadrature norm while effects remain unconstrained,"arm-specific AIPW forests feed weighted PAVA; the effect method subtracts projected arms without effect projection","both fitted arm predictions are monotone; predict_effect equals projected arm1 minus arm0; the weighted [3,0,2] witness projects to [1,1,2]",1e-12,PASS,research/wp3_invariants.py
WP3-N3g,Experimental inner variance is propagated to the direct DR-score scale for SSE variants,"the observation-level variance multiplier equals {Z/e+(1-Z)/(1-e)}^2; correction is explicit and mmd_score rejects the unsupported option","the invariant reconstructs the score-scale variance, matches the stored variance, and verifies the MMD rejection",1e-12,PASS,research/wp3_invariants.py
WP3-N3h,The DRF-inspired MMD-on-score comparator respects direct-sum geometry,"exact curve-coordinate duplication with halved weights leaves MMD candidate rankings and fitted structures unchanged","the duplicate-grid invariant passes for both composite SSE and mmd_score structures and predictions",1e-8,PASS,research/wp3_invariants.py
